ALPHABET	LENGTH	SUM	MAXBORDERLESS_PREFIX	TIME
2	46	106000000	4107629333	38.7512201226	154.63799405097961
2	43	141000000	5065124287	35.9228672837	191.10947608947754
2	45	154000000	5822414784	37.8078882078	217.64680814743042
2	41	220000000	7489896019	34.0449819045	283.9106719493866
2	42	218000000	7626348879	34.9832517385	287.46332597732544
2	48	97000000	3942084018	40.6400414227	142.74044704437256
2	44	57000000	2101489341	36.8682340526	298.92097783088684
2	47	203000000	8057934260	39.6942574384	298.9156610965729
2	50	116000000	4933942727	42.5339890259	182.96215105056763
2	54	95000000	4401603314	46.3326664632	164.7516438961029
2	51	117000000	5087344735	43.4815789316	191.16405487060547
2	53	116000000	5264023334	45.3795115000	197.7299120426178
2	52	156000000	6931217894	44.4308839359	259.75091099739075
2	49	238000000	9897313481	41.5853507605	368.52934098243713
2	58	96000000	4814077247	50.1466379896	176.2308259010315
2	61	53000000	2809620068	53.0116993962	101.91148495674133
2	56	180000000	8682655146	48.2369730333	318.2001769542694
2	55	256000000	12104819000	47.2844492187	445.2841441631317
2	60	106000000	5517968213	52.0563038962	199.2423801422119
2	62	69000000	3723849468	53.9688328696	134.59295892715454
2	64	62000000	3464833602	55.8844129355	123.89159798622131
2	66	53000000	3063440877	57.8007712642	110.05355191230774
2	57	244000000	12002154644	49.1891583770	437.104120016098
2	59	239000000	12212716870	51.0992337657	446.3884370326996
2	69	56000000	3398304950	60.6840169643	120.42316579818726
2	63	226000000	12413279175	54.9260140487	446.5296289920807
2	71	90000000	5634617931	62.6068659000	200.647469997406
2	67	207000000	12163149237	58.7591750580	433.6912190914154
2	65	255000000	14495382106	56.8446357098	520.2111420631409
2	70	167000000	10293974886	61.6405681796	364.5654170513153
2	73	88000000	5678587152	64.5293994545	202.92087817192078
2	74	106000000	6942524079	65.4955101792	245.0652391910553
2	78	43000000	2982278650	69.3553174419	104.26139903068542
2	76	74000000	4989202241	67.4216519054	176.41563510894775
2	68	287000000	17138657983	59.7165783380	609.3409690856934
2	72	229000000	14556378970	63.5649736681	514.9471271038055
2	77	101000000	6907500630	68.3910953465	242.61136412620544
2	75	251000000	16681335833	66.4595053108	583.8750948905945
2	79	212000000	14908384381	70.3225678349	518.4278399944305
2	82	182000000	13326600893	73.2230818297	459.14436411857605
2	80	224000000	15968269859	71.2869190134	552.1309218406677
2	83	199000000	14764232766	74.1921244523	513.0742409229279
2	81	305000000	22038425602	72.2571331213	768.1305978298187
2	87	163000000	12724865668	78.0666605399	432.3189899921417
2	84	342000000	25703870610	75.1575164035	888.6913819313049
2	88	171000000	13514878679	79.0343782398	462.6179280281067
2	86	244000000	18811414145	77.0959596107	643.9332220554352
2	89	216000000	17280323878	80.0014994352	590.125617980957
2	90	144000000	11660229949	80.9738190903	395.8862919807434
2	85	313000000	23827831631	76.1272576070	817.1129331588745
2	92	81000000	6716163031	82.9155929753	229.055979013443
2	96	36000000	3124782549	86.7995152500	106.03236889839172
2	93	201000000	16860853175	83.8848416667	572.7629489898682
2	99	100000000	8972158455	89.7215845500	302.80162596702576
2	97	184000000	16150006012	87.7717718043	538.5772008895874
2	91	308000000	25239018896	81.9448665455	853.3360619544983
2	98	221000000	19612474895	88.7442302941	638.145534992218
2	100	117000000	10610733293	90.6900281453	325.04630494117737
2	94	426000000	36149366802	84.8576685493	1099.3745160102844
2	95	495000000	42485296885	85.8288825960	1212.403519153595
