ALPHABET	LENGTH	SUM	MAXBORDERLESS_PREFIX	TIME
3	20	19000000	358828260	18.8856978947	12.029845952987671
3	24	27000000	617900600	22.8852074074	19.90214204788208
3	23	34000000	744074624	21.8845477647	23.53534197807312
3	22	40000000	835400856	20.8850214000	26.533658981323242
3	29	34000000	948069287	27.8843907941	29.111698865890503
3	32	33000000	1019201193	30.8848846364	32.339715003967285
3	21	62000000	1232883091	19.8852111452	38.7059428691864
3	36	27000000	941864701	34.8838778148	28.254865884780884
3	25	65000000	1552496309	23.8845586000	45.2838191986084
3	27	68000000	1760155081	25.8846335441	52.057693004608154
3	41	19000000	757804084	39.8844254737	20.010560989379883
3	28	71000000	1908787380	26.8843292958	55.77782106399536
3	35	68000000	2304124074	33.8841775588	69.23604011535645
3	30	39000000	1126496611	28.8845284872	75.71215105056763
3	31	46000000	1374686315	29.8844851087	75.71249604225159
3	33	20000000	637688465	31.8844232500	75.71210408210754
3	34	77000000	2532231748	32.8861265974	75.71487712860107
3	46	20000000	897684679	44.8842339500	26.243359088897705
3	44	36000000	1543822617	42.8839615833	41.821699142456055
3	51	8000000	399073044	49.8841305000	12.220898866653442
3	26	126000000	3135456694	24.8845769365	95.10400390625
3	38	72000000	2655669517	36.8842988472	79.08961296081543
3	52	27000000	1373903354	50.8853094074	42.502326011657715
3	42	69000000	2820991407	40.8839334348	83.27857184410095
3	49	35000000	1675942300	47.8840657143	51.71494197845459
3	40	84000000	3266280395	38.8842904167	98.79931092262268
3	43	74000000	3099434734	41.8842531622	90.7516610622406
3	54	27000000	1427879243	52.8844164074	45.77058005332947
3	53	35000000	1815939514	51.8839861143	55.37527012825012
3	39	93000000	3523230435	37.8841982258	109.63066911697388
3	58	11000000	625729693	56.8845175455	18.84227705001831
3	59	19000000	1099798902	57.8841527368	33.156546115875244
3	47	82000000	3762528442	45.8844931951	112.7157530784607
3	45	85000000	3730168063	43.8843301529	117.02552795410156
3	57	40000000	2235382752	55.8845688000	67.35037302970886
3	55	56000000	3017535274	53.8845584643	91.5675060749054
3	37	159000000	5705530301	35.8838383711	175.82682704925537
3	50	82000000	4008528777	48.8844972805	123.49013185501099
3	63	45000000	2784792759	61.8842835333	83.31360292434692
3	67	32000000	2108295988	65.8842496250	61.35689401626587
3	62	48000000	2922470766	60.8848076250	87.66232514381409
3	48	105000000	4922873148	46.8845061714	151.54727482795715
3	71	37000000	2585726919	69.8845113243	76.43777179718018
3	68	47000000	3143573195	66.8845360638	93.64450907707214
3	61	90000000	5389609113	59.8845457000	163.4008870124817
3	60	93000000	5476248406	58.8843914624	165.7960250377655
3	74	36000000	2623819393	72.8838720278	77.80901288986206
3	69	64000000	4344606228	67.8844723125	128.83860516548157
3	77	36000000	2731855063	75.8848628611	80.4380350112915
3	75	40000000	2955379739	73.8844934750	86.754319190979
3	70	65000000	4477476238	68.8842498154	133.54166984558105
3	73	65000000	4672476932	71.8842604923	144.15651893615723
3	56	148000000	8122899577	54.8844566014	248.65077209472656
3	64	110000000	6917294759	62.8844978091	212.32236909866333
3	76	60000000	4493078524	74.8846420667	134.30842113494873
3	65	113000000	7218930011	63.8843363805	223.3639199733734
3	91	5000000	449421230	89.8842460000	13.834826946258545
3	72	91000000	6450450893	70.8840757473	193.49463295936584
3	78	60000000	4613053454	76.8842242333	135.57015109062195
3	66	130000000	8434960416	64.8843108923	256.28791999816895
3	85	39000000	3271491880	83.8844071795	95.4105019569397
3	80	50000000	3944192716	78.8838543200	117.73584508895874
3	83	52000000	4257987217	81.8843695577	124.75072693824768
3	82	61000000	4933930778	80.8841111148	146.60540199279785
3	89	40000000	3515383738	87.8845934500	102.87620997428894
