2 41 57000000	2237964373	39.2625328596	147.21961092948914
2 42 85000000	3422287907	40.2622106706	147.21595096588135
2 43 54000000	2228188623	41.2627522778	164.93442392349243
2 44 93000000	3930421643	42.2625983118	164.93214893341064
2 45 75000000	3244730172	43.2630689600	164.92809391021729
2 46 68000000	3009870598	44.2628029118	133.80105209350586
2 47 26000000	1176821903	45.2623808846	51.6110999584198
2 48 22000000	1017765192	46.2620541818	122.8766450881958
2 49 30000000	1417867183	47.2622394333	63.3139009475708
2 50 103000000	4971045904	48.2625815922	206.6093180179596
2 51 40000000	1970505343	49.2626335750	206.60855412483215
2 52 80000000	4021031474	50.2628934250	167.1293408870697
2 53 78000000	3998480230	51.2625670513	158.8338179588318
2 54 66000000	3449331559	52.2625993788	135.02187204360962
2 55 74000000	3941454876	53.2629037297	172.2025020122528
2 56 25000000	1356566745	54.2626698000	55.84666180610657
2 57 60000000	3315766808	55.2627801333	146.38540601730347
2 58 40000000	2250511129	56.2627782250	97.71904492378235
2 59 48000000	2748618639	57.2628883125	121.64583086967468
2 60 36000000	2097467468	58.2629852222	92.0382628440857
2 61 80000000	4741021698	59.2627712250	214.57703399658203
2 62 10000000	602636181	60.2636181000	24.621361017227173
2 63 31000000	1899142214	61.2626520645	83.96722412109375
2 64 112000000	6973464523	62.2630760982	314.3706600666046
2 65 41000000	2593783190	63.2630046341	114.8837480545044
2 66 7000000	449843603	64.2633718571	19.607269048690796
2 67 36000000	2349455004	65.2626390000	105.17811608314514
2 68 40000000	2650514243	66.2628560750	119.17437696456909
2 69 100000000	6726267928	67.2626792800	302.7372610569
2 70 90000000	6143698083	68.2633120333	276.17930698394775
2 71 26000000	1800836181	69.2629300385	81.20711207389832
2 72 76000000	5340008298	70.2632670789	239.5417730808258
2 73 67000000	4774630833	71.2631467612	213.18554997444153
2 74 35000000	2529198247	72.2628070571	113.17428398132324
2 75 29000000	2124621355	73.2628053448	94.87414693832397
2 76 72000000	5346920851	74.2627895972	238.56218791007996
2 77 44000000	3311572326	75.2630074091	148.65684008598328
2 78 52000000	3965694413	76.2633540962	177.27980303764343
2 79 108000000	8344384551	77.2628199167	362.5355260372162
2 80 42000000	3287043805	78.2629477381	146.104887008667
2 81 71000000	5627668565	79.2629375352	247.5192470550537
2 82 60000000	4815778465	80.2629744167	213.563716173172
2 83 89000000	7232402638	81.2629509888	316.6148328781128
2 84 35000000	2879208495	82.2630998571	127.97817301750183
2 85 119000000	9908274726	83.2628128235	393.2162199020386
2 86 32000000	2696403197	84.2625999063	119.81321501731873
2 87 77000000	6565243071	85.2628970260	264.5226562023163
2 88 22000000	1897776155	86.2625525000	83.98213195800781
2 89 58000000	5061255121	87.2630193276	192.27963399887085
2 90 95000000	8384969087	88.2628324947	312.3945379257202
2 91 50000000	4463140721	89.2628144200	190.26637887954712
2 92 32000000	2888417141	90.2630356562	126.97045707702637
2 93 36000000	3285448535	91.2624593056	142.35386109352112
2 94 53000000	4889942172	92.2630598491	202.71796989440918
2 95 27000000	2518112773	93.2634360370	110.94270896911621
2 96 67000000	6315614258	94.2628993731	237.62086081504822
2 97 28000000	2667351830	95.2625653571	115.04516100883484
2 99 47000000	4571362304	97.2630277447	176.95042896270752
2 100 43000000	4225308861	98.2629967674	157.8533320426941
3 20 85000000	1641013465	19.3060407647	54.00404381752014
3 21 58000000	1177749960	20.3060337931	38.98810911178589
3 22 55000000	1171834359	21.3060792545	54.000837087631226
3 23 56000000	1249133030	22.3059469643	54.000306129455566
3 24 70000000	1631427270	23.3061038571	52.84708118438721
3 25 52000000	1263921904	24.3061904615	40.72051405906677
3 26 48000000	1214706568	25.3063868333	40.7204749584198
3 27 70000000	1841433288	26.3061898286	58.359729051589966
3 28 41000000	1119546815	27.3060198780	39.64368796348572
3 29 19000000	537814292	28.3060153684	36.93683195114136
3 30 40000000	1172245070	29.3061267500	58.353490114212036
3 31 19000000	575819486	30.3062887368	20.13838291168213
3 32 20000000	626128094	31.3064047000	20.63610601425171
3 33 7000000	226141722	32.3059602857	57.006219148635864
3 34 38000000	1265642062	33.3063700526	57.005303144454956
3 35 52000000	1783926157	34.3062722500	57.00531506538391
3 36 76000000	2683260715	35.3060620395	89.19401097297668
3 37 19000000	689811927	36.3058908947	22.551968812942505
3 38 74000000	2760651263	37.3060981486	92.32648301124573
3 39 49000000	1876991355	38.3059460204	65.1465961933136
3 40 65000000	2554883303	39.3058969692	85.09067797660828
3 41 19000000	765810319	40.3058062632	78.27227687835693
3 42 58000000	2395742563	41.3059062586	78.27274107933044
3 43 64000000	2707580309	42.3059423281	89.37718486785889
3 44 87000000	3767615364	43.3059237241	131.4769401550293
3 45 5000000	221531057	44.3062114000	7.450778007507324
3 46 53000000	2401215871	45.3059598302	83.95644497871399
3 47 37000000	1713337691	46.3064240811	57.52377200126648
3 48 33000000	1561100751	47.3060833636	52.53858494758606
3 49 13000000	627982053	48.3063117692	21.253914833068848
3 50 32000000	1577792144	49.3060045000	52.267902135849
3 51 44000000	2213467719	50.3060845227	73.91253685951233
3 52 55000000	2821836945	51.3061262727	95.16002988815308
3 53 13000000	679979331	52.3061023846	22.26852798461914
3 54 53000000	2825215692	53.3059564528	95.20368719100952
3 55 88000000	4778939565	54.3061314205	162.36682987213135
3 56 25000000	1382653818	55.3061527200	47.025120973587036
3 57 24000000	1351344234	56.3060097500	46.494024991989136
3 58 43000000	2464166381	57.3061949070	84.81606698036194
3 59 37000000	2157320424	58.3059574054	73.45798397064209
3 60 58000000	3439749724	59.3060297241	117.73803114891052
