ALPHABET	LENGTH	SUM	MAXBORDERLESS_PREFIX	TIME
2	107	80000000	7801027015	97.5128376875	264.0421631336212
2	105	126000000	12040757554	95.5615678889	401.1159930229187
2	103	144000000	13480022218	93.6112654028	450.32528710365295
2	108	99000000	9750069704	98.4855525657	314.2425630092621
2	102	150000000	13895558289	92.6370552600	614.7627160549164
2	101	120000000	10999582805	91.6631900417	614.76411485672
2	104	197000000	18633308651	94.5853231015	614.7651600837708
2	110	68000000	6829723691	100.4371131029	212.5530710220337
2	113	40000000	4134385880	103.3596470000	135.13073301315308
2	106	255000000	24615407294	96.5310089961	799.7418229579926
2	111	74000000	7504264021	101.4089732568	243.4330930709839
2	112	88000000	9009727243	102.3832641250	283.8900020122528
2	109	192000000	19095438605	99.4554094010	590.1465120315552
2	115	168000000	17691924367	105.3090736131	523.9670350551605
2	117	148000000	15875660576	107.2679768649	451.58848786354065
2	118	142000000	15370376397	108.2420873028	434.50202798843384
2	114	227000000	23683706935	104.3335107269	696.4489090442657
2	121	43000000	4780420612	111.1725723721	129.63390398025513
2	122	81000000	9083981645	112.1479215432	195.30236792564392
2	123	158000000	17874297112	113.1284627342	389.50531697273254
2	119	302000000	32983844502	109.2180281523	765.2892580032349
2	125	176000000	20254621268	115.0830753864	429.2941629886627
2	120	307000000	33830136019	110.1958827980	798.1686658859253
2	116	410000000	43577160156	106.2857564780	1060.447853088379
2	127	125000000	14630206793	117.0416543440	296.45313596725464
2	130	134000000	16077282927	119.9797233358	329.03715205192566
2	129	212000000	25227168918	118.9960798019	509.599102973938
2	124	454000000	51804081839	114.1059071344	1080.2405288219452
2	131	241000000	29150243843	120.9553686432	587.8917989730835
2	126	449000000	52111601035	116.0614722383	1056.2059738636017
2	128	294000000	34698018310	118.0204704422	853.9308180809021
2	132	264000000	32190145049	121.9323676098	649.2673940658569
2	133	161000000	19789259250	122.9146537267	540.9806711673737
2	138	65000000	8307742712	127.8114263385	166.8447449207306
2	134	174000000	21557338381	123.8927493161	433.3507549762726
2	137	99000000	12556233138	126.8306377576	252.54113006591797
2	136	179000000	22527034542	125.8493549832	463.5017890930176
2	140	158000000	20504164684	129.7731942025	415.5665850639343
2	145	10000000	1346830887	134.6830887000	27.15580701828003
2	141	168000000	21966596398	130.7535499881	441.20487999916077
2	135	312000000	38960175388	124.8723570128	783.9581229686737
2	144	174000000	23263000783	133.6954067989	465.7109429836273
